,Unnamed: 0,Hebrew,English
0,0,לא ,No
1,1,את ,You
2,2,זה ,It
3,3,אתה ,are you
4,4,מה ,what
5,5,הוא ,he
6,6,על ,On
7,8,של ,of
8,9,כן ,Yes
9,10,לך ,to you
10,11,אבל ,but
11,12,יש ,there is
12,13,שלי ,My
13,14,כל ,all
14,15,בסדר ,OK
15,16,עם ,With
16,17,היא ,She
17,18,שלך ,your
18,19,אם ,If
19,20,טוב ,Good
20,21,היה ,Was
21,22,אנחנו ,we
22,23,רוצה ,wants to
23,24,אז ,So
24,25,יודע ,Know
25,26,רק ,only
26,27,יכול ,Can
27,28,אותו ,him
28,29,אותך ,you
29,30,יותר ,More
30,31,ג ,third
31,32,כאן ,Here
32,33,אותי ,me
33,35,שאני ,That I
34,36,למה ,Why
35,37,להיות ,to be
36,38,עכשיו ,now
37,39,או ,or
38,40,אחד ,one
39,41,משהו ,something
40,42,היי ,Hey
41,43,צריך ,Must
42,44,כמו ,same as
43,45,אל ,to
44,46,כך ,so
45,47,איך ,how
46,48,אין ,nothing
47,49,נכון ,Right
48,50,לעשות ,to do
49,51,תודה ,Thanks
50,52,לו ,to him
51,53,לנו ,us
52,54,שאתה ,You
53,55,מי ,who will
54,56,זאת ,this
55,57,שם ,Name
56,58,חושב ,thinking
57,59,כדי ,In order to
58,60,שהוא ,that he
59,61,כמה ,Some
60,63,יודעת ,Knows
61,64,אותה ,her
62,65,אולי ,Maybe
63,66,באמת ,really
64,67,כי ,Because
65,68,הייתי ,I was
66,69,שזה ,of such
67,70,גם ,also
68,71,זו ,this
69,72,האם ,the mother
70,73,ואני ,And i
71,74,דבר ,Nothing
72,75,שלו ,His
73,76,עוד ,More
74,77,כבר ,already
75,78,שלא ,Not
76,79,נראה ,seen
77,80,שלנו ,our
78,81,מאוד ,is very
79,82,לפני ,before
80,83,הרבה ,Much
81,84,בבקשה ,you are welcome
82,85,קדימה ,forward
83,86,אומר ,Say
84,87,יהיה ,will be
85,88,יכולה ,Can
86,89,פעם ,time
87,90,זמן ,time
88,91,אתם ,you
89,92,עדיין ,Still
90,93,עד ,Until
91,94,ממש ,really
92,95,אלוהים ,God
93,96,ובכן ,Well
94,97,איפה ,where
95,98,לה ,her
96,99,קצת ,Some
97,100,מישהו ,someone
98,101,אותם ,them
99,102,לעזאזל ,Damn
100,103,אה ,Ah
101,104,לראות ,See
102,105,הנה ,here
103,106,הייתה ,was
104,107,פה ,Here
105,108,אבא ,father
106,109,הכל ,Everything
107,110,ללכת ,go
108,111,בכל ,in all
109,112,שהיא ,Which is
110,113,צריכה ,consumption
111,114,בדיוק ,exactly
112,115,אנשים ,people
113,116,אף ,Nose
114,117,לדבר ,Speak
115,118,חייב ,have to
116,119,שוב ,again
117,120,חשבתי ,I thought
118,121,היית ,You were
119,122,היום ,Today
120,123,שיש ,That
121,124,מצטער ,Sorry
122,125,מר ,Mr
123,126,צריכים ,Need
124,127,בוא ,Come on
125,128,היו ,there were
126,129,שאת ,That you
127,130,חושבת ,Thinks
128,131,קרה ,Happened
129,132,אחת ,One
130,133,לזה ,That
131,134,שלה ,its
132,135,אמא ,mother
133,136,אוהב ,Love
134,137,שום ,garlic
135,138,אחר ,Other
136,139,אפילו ,Even
137,140,ה ,God
138,141,אדוני ,The lord
139,142,תמיד ,Always
140,143,יכולים ,can
141,144,יום ,a day
142,145,חבר ,Friend
